date	State Line Gauge	Roscoe	Overton	Kearney	Grand Island	Dunning	Saint Paul	North Bend	Louisville
10/3/11	1000	205	4490	4630	4390	447	1250	5960	6930
10/4/11	850	199	4570	4600	4360	446	1220	5730	6800
10/5/11	750	192	4590	4600	4310	446	1190	5930	6730
10/6/11	700	194	4470	4430	4270	448	1230	5860	6870
10/7/11	626	200	4190	4360	4210	484	1460	5660	7230
10/8/11	631	197	4320	5350	4980	540	2390	5680	7450
10/9/11	740	188	4640	5100	5990	520	2850	6440	7940
10/10/11	675	199	4540	5280	6080	496	2980	8960	8850
10/11/11	650	204	3950	4390	5860	496	2190	11000	12300
10/12/11	634	203	3650	3680	4900	494	1790	12300	13900
10/13/11	581	199	3300	3310	4010	473	1660	10400	14500
10/14/11	589	195	3200	3130	3690	473	1460	9850	11500
10/15/11	557	193	3250	2970	3600	460	1290	8990	11000
10/16/11	525	188	3560	3050	3540	454	1030	8600	10200
10/17/11	511	188	3670	3110	3570	480	1070	8110	9780
10/18/11	532	193	3700	3230	3630	475	1070	7610	9280
10/19/11	502	199	3750	3280	3710	466	901	7520	8760
10/20/11	483	201	3350	3310	3750	472	712	7900	8740
10/21/11	483	209	3070	3120	3750	483	589	7660	9040
10/22/11	473	229	3020	3050	3640	483	737	8090	8890
10/23/11	461	236	3070	3030	3570	497	934	7390	9250
10/24/11	452	243	3130	2900	3520	490	1240	7550	8670
10/25/11	446	251	3090	2940	3440	493	1550	6690	8720
10/26/11	437	267	3060	2980	3390	469	1420	6770	8220
10/27/11	432	277	3100	3050	3380	462	1270	6740	8170
10/28/11	425	289	3050	3120	3310	464	1480	7110	8170
10/29/11	418	303	3080	3100	3300	468	1460	6760	8500
10/30/11	411	310	3070	3070	3270	478	1290	6640	8280
10/31/11	406	313	3030	2980	3220	482	1320	6640	8190
11/1/11	401	317	2830	2900	3230	495	1210	5950	8270
11/2/11	400	345	2870	2940	3280	512	1280	6400	8450
11/3/11	392	390	2840	2970	3320	469	1440	6260	8960
11/4/11	387	435	2720	2980	3350	479	1300	6310	8710
11/5/11	383	493	2710	2940	3300	487	1140	6390	8610
11/6/11	375	527	2780	2920	3220	528	1140	6000	9020
11/7/11	368	524	2790	2860	3240	513	1220	6170	8880
11/8/11	365	531	2760	2800	3270	508	1200	6050	9440
11/9/11	359	556	2760	2740	3230	520	1140	6240	8950
11/10/11	354	550	2800	2780	3180	500	1050	6310	8690
11/11/11	351	537	2760	2920	3160	518	1530	5960	8640
11/12/11	351	524	2790	3020	3200	517	1660	5880	8290
11/13/11	344	510	2820	3070	3230	513	1860	6020	8170
11/14/11	342	486	2680	3090	3250	519	1950	5970	8190
11/15/11	337	458	2640	3020	3210	518	1920	6080	8340
11/16/11	335	428	2590	2900	3090	512	1520	5720	8550
11/17/11	330	409	2610	2780	3040	505	1250	6200	8170
11/18/11	329	398	2570	2720	2970	505	1360	5830	8600
11/19/11	328	383	2660	2680	2950	531	1380	6300	8630
11/20/11	322	363	2690	2650	2960	512	1300	6300	8820
11/21/11	318	350	2410	2630	2960	504	1270	5940	8610
11/22/11	315	338	2800	2460	2960	498	1390	5960	7940
11/23/11	312	331	2660	2680	2850	506	1500	6830	7710
11/24/11	305	324	2650	2720	2910	532	1630	6680	8760
11/25/11	305	314	2710	2750	2920	552	1680	6130	8500
11/26/11	299	306	2700	2790	2870	562	1620	6640	8240
11/27/11	294	319	2680	2760	2780	499	1530	6500	8580
11/28/11	294	316	2660	2770	2780	507	1400	6250	8610
11/29/11	294	315	2580	2700	2910	516	1490	6370	8490
11/30/11	292	316	2550	2630	2950	523	1480	5660	8640
12/1/11	289	311	2530	2600	2970	535	1400	5980	8000
12/2/11	287	309	2510	2530	2800	515	1210	5180	8080
12/3/11	287	326	2540	2610	2750	491	1180	4890	7150
12/4/11	282	293	2490	2630	2620	517	1230	4880	7050
12/5/11	276	271	2490	2600	2510	514	1100	4800	7050
12/6/11	270	215	2300	2500	2350	497	1020	4550	6480
12/7/11	284	179	2250	2440	2360	499	990	4260	5560
12/8/11	281	235	1450	2340	2270	466	1240	3900	5000
12/9/11	281	312	2130	2010	2160	464	1230	3640	4670
12/10/11	278	411	2520	2360	2070	487	1150	3980	4930
12/11/11	274	597	2470	2610	2320	501	1310	4540	5500
12/12/11	274	677	2950	2860	2920	517	1370	5550	6940
12/13/11	268	724	3010	3160	3220	509	1360	6370	8570
12/14/11	273	722	2850	3070	3470	515	1400	6930	10500
12/15/11	268	736	2860	2990	3290	511	1500	6910	10400
12/16/11	268	701	2920	2960	3120	511	1400	6610	10100
12/17/11	261	668	2960	2950	3070	499	1410	5980	9640
12/18/11	261	644	2850	2870	3050	491	1490	6300	9550
12/19/11	261	713	2720	2820	3080	492	1560	6110	9400
12/20/11	258	821	1840	2670	3030	484	1490	5920	9310
12/21/11	258	882	2610	2190	2850	508	1400	4970	8600
12/22/11	256	945	2550	2700	2510	505	1500	5690	8940
12/23/11	251	875	2770	2700	2750	501	1380	5350	8990
12/24/11	249	902	3010	3000	2700	498	1400	4930	8070
12/25/11	245	986	3110	3080	2960	476	1530	5180	8090
12/26/11	243	1040	3120	3140	3030	496	1600	5550	8180
12/27/11	243	1040	3050	3180	3020	495	1670	5630	8490
12/28/11	242	1070	2850	3220	3040	498	1590	6130	8920
12/29/11	243	1120	2930	3230	3000	520	1610	6180	8770
12/30/11	243	1160	2950	3380	2930	532	1670	6570	8940
12/31/11	242	1110	2970	3340	2930	533	1600	6630	8880
1/1/12	237	1080	2860	3190	2950	510	1560	6690	9420
1/2/12	234	1070	2850	3070	2910	483	1350	6150	9230
1/3/12	233	1100	2830	2990	2860	494	1380	5770	8030
1/4/12	232	1120	2840	2930	2960	528	1470	6000	7750
1/5/12	228	1120	2830	2960	3000	543	1570	6220	7810
1/6/12	225	1070	2840	2850	3010	555	1250	6440	8640
1/7/12	226	995	3050	3010	2900	532	1300	5840	8200
1/8/12	226	955	3030	3060	2920	516	1300	5820	7810
1/9/12	225	935	2770	3010	2930	521	1370	5860	7940
1/10/12	222	913	1940	2850	2900	520	1410	5820	8130
1/11/12	220	895	2690	2250	2720	546	1470	5610	8130
1/12/12	215	856	2400	2800	2190	488	1290	4240	7630
1/13/12	218	851	1570	1670	1820	512	1080	4650	6860
1/14/12	219	870	2760	2170	2220	486	1300	3660	6410
1/15/12	219	889	3430	3020	2630	502	1420	3260	6190
1/16/12	217	879	3230	3250	2800	532	1510	3980	6040
1/17/12	209	829	2220	3020	2660	546	1210	5010	6340
1/18/12	205	836	2710	2570	3040	540	1080	5380	7060
1/19/12	210	811	3050	2870	2560	524	1240	5060	6710
1/20/12	214	791	2840	3190	2330	538	978	4100	5360
1/21/12	213	872	2400	2800	2230	570	1110	3590	4550
1/22/12	209	943	1980	2080	2320	571	1180	3360	4180
1/23/12	207	936	2380	2200	2590	507	1340	3300	4070
1/24/12	205	872	1950	2470	2730	508	1380	3520	4310
1/25/12	206	867	2710	2470	2840	532	1300	4190	5210
1/26/12	197	875	2760	3010	3250	543	1390	5120	6410
1/27/12	196	878	2570	2860	3320	559	1470	5770	7390
1/28/12	194	867	2710	2830	2980	551	1410	5990	8260
1/29/12	193	852	2600	2700	2880	521	1340	6040	8690
1/30/12	201	838	2720	2740	2910	538	1500	6520	8820
1/31/12	214	833	2760	2950	2640	547	1880	7080	10000
2/1/12	211	828	2730	2950	2420	539	1850	7470	10100
2/2/12	209	820	2710	2910	2420	549	1850	7130	9300
